store,category,brand,model_name,variant,ram,storage,price,price_text,currency,product_url,source_url,in_stock,scraped_at
GadgetByte Nepal,Mobiles,Samsung,Galaxy A07,4GB/128GB,4GB,128GB,22499,"NPR 22,499 (4+128GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a07-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.268220+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A07,6GB/128GB,6GB,128GB,26499,"NPR 26,499 (6+128GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a07-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.268283+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S26+,12GB/256GB,12GB,256GB,151999,"NPR 151,999",NPR,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.268693+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi A5,3GB/64GB,3GB,64GB,14999,"NPR 14,999 (3+64GB)",NPR,https://www.gadgetbytenepal.com/oppo-a5-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.248503+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi A5,4GB/128GB,4GB,128GB,16999,"NPR 16,999 (4+128GB)",NPR,https://www.gadgetbytenepal.com/oppo-a5-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.248600+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi A7 Pro,4GB/64GB,4GB,64GB,17999,"NPR 17,999 (4+64GB)",NPR,https://www.gadgetbytenepal.com/redmi-a7-pro-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.248931+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi A7 Pro,4GB/128GB,4GB,128GB,22999,"NPR 22,999 (4+128GB)",NPR,https://www.gadgetbytenepal.com/redmi-a7-pro-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.249080+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi 15C,4GB/128GB,4GB,128GB,29999,"NPR 29,999 (4+128GB)",NPR,https://www.gadgetbytenepal.com/redmi-15c-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.249259+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi 15C,6GB/128GB,6GB,128GB,21999,"NPR 21,999 (6+128GB)",NPR,https://www.gadgetbytenepal.com/redmi-15c-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.249343+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi 15C,8GB/256GB,8GB,256GB,24999,"NPR 24,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/redmi-15c-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.249416+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi 15,6GB/128GB,6GB,128GB,24999,"NPR 24,999 (6+128GB)",NPR,https://www.gadgetbytenepal.com/redmi-15-4g-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.249599+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi 15,8GB/256GB,8GB,256GB,27999,"NPR 27,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/redmi-15-4g-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.249699+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi Note 15 4G,6GB/128GB,6GB,128GB,33999,"NPR 33,999 (6+128GB)",NPR,https://www.gadgetbytenepal.com/redmi-note-15-4g-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.249898+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi Note 15 4G,8GB/256GB,8GB,256GB,39999,"NPR 39,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/redmi-note-15-4g-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.250024+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi Note 15 5G,8GB/256GB,8GB,256GB,43999,"NPR 43,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/redmi-note-15-5g-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.250223+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi Note 15 5G,12GB/512GB,12GB,512GB,49999,"NPR 49,999 (12+512GB)",NPR,https://www.gadgetbytenepal.com/redmi-note-15-5g-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.250311+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi Note 15 Pro,8GB/256GB,8GB,256GB,53999,"NPR 53,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/redmi-note-15-pro-5g-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.250524+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi Note 15 Pro,12GB/512GB,12GB,512GB,59999,"NPR 59,999 (12+512GB)",NPR,https://www.gadgetbytenepal.com/redmi-note-15-pro-5g-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.250614+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi Note 15 Pro+ 5G,8GB/256GB,8GB,256GB,63999,"NPR 63,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/redmi-note-15-pro-plus-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.250807+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi Note 15 Pro+ 5G,12GB/512GB,12GB,512GB,69999,"NPR 69,999 (12+512GB)",NPR,https://www.gadgetbytenepal.com/redmi-note-15-pro-plus-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.250892+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Xiaomi 17T,12GB/512GB,12GB,512GB,89999,"NPR 89,999 (12+512GB)",NPR,https://www.gadgetbytenepal.com/xiaomi-17t-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.251086+00:00
